iter	Passed	Remaining
0	33	33341
1	85	42743
2	118	39532
3	151	37739
4	183	36564
5	243	40319
6	342	48618
7	430	53338
8	484	53387
9	552	54706
10	644	57911
11	728	59988
12	896	68061
13	1034	72851
14	1161	76256
15	1204	74055
16	1308	75671
17	1415	77244
18	1476	76229
19	1577	77298
20	1661	77435
21	1756	78102
22	1861	79080
23	1936	78762
24	1991	77672
25	2099	78644
26	2206	79529
27	2313	80303
28	2405	80548
29	2502	80908
30	2606	81466
31	2681	81119
32	2758	80818
33	2828	80371
34	2894	79803
35	2995	80218
36	3050	79385
37	3115	78876
38	3201	78880
39	3292	79022
40	3372	78889
41	3472	79209
42	3568	79426
43	3667	79680
44	3767	79951
45	3863	80133
46	3961	80329
47	4054	80407
48	4182	81173
49	4293	81578
50	4391	81725
51	4497	81985
52	4592	82056
53	4691	82194
54	4808	82620
55	4923	82987
56	5030	83217
57	5154	83721
58	5286	84313
59	5446	85324
60	5550	85435
61	5692	86129
62	5801	86279
63	5923	86628
64	6036	86838
65	6116	86559
66	6210	86488
67	6312	86518
68	6420	86630
69	6517	86587
70	6624	86674
71	6729	86732
72	6851	86999
73	6952	87004
74	7075	87266
75	7181	87314
76	7289	87374
77	7392	87387
78	7470	87098
79	7572	87086
80	7679	87129
81	7773	87027
82	7820	86406
83	7900	86151
84	7991	86027
85	8098	86070
86	8201	86067
87	8307	86096
88	8409	86082
89	8470	85646
90	8574	85652
91	8689	85758
92	8809	85915
93	8918	85959
94	9031	86039
95	9089	85591
96	9167	85339
97	9274	85361
98	9364	85226
99	9419	84773
100	9522	84760
101	9585	84393
102	9690	84388
103	9759	84082
104	9870	84130
105	9981	84179
106	10106	84347
107	10221	84423
108	10289	84108
109	10379	83975
110	10496	84066
111	10584	83917
112	10689	83909
113	10794	83890
114	10869	83645
115	10972	83616
116	11033	83267
117	11118	83106
118	11178	82759
119	11226	82328
120	11276	81915
121	11384	81929
122	11473	81809
123	11577	81792
124	11680	81762
125	11782	81729
126	11891	81740
127	11946	81387
128	12003	81044
129	12056	80686
130	12114	80360
131	12217	80341
132	12269	79980
133	12332	79701
134	12392	79403
135	12424	78929
136	12504	78770
137	12657	79065
138	12810	79348
139	12992	79811
140	13116	79909
141	13246	80037
142	13333	79908
143	13454	79982
144	13560	79957
145	13675	79991
146	13777	79944
147	13857	79772
148	13943	79636
149	14000	79335
150	14052	79012
151	14132	78844
152	14221	78732
153	14339	78772
154	14388	78440
155	14455	78209
156	14560	78183
157	14694	78311
158	14839	78489
159	14898	78214
160	14988	78105
161	15071	77961
162	15174	77921
163	15323	78111
164	15418	78026
165	15525	77999
166	15560	77613
167	15660	77554
168	15756	77475
169	15862	77448
170	15991	77524
171	16090	77457
172	16160	77252
173	16255	77166
174	16363	77140
175	16476	77140
176	16527	76847
177	16637	76832
178	16724	76708
179	16786	76472
180	16889	76422
181	17008	76445
182	17042	76088
183	17139	76008
184	17227	75894
185	17266	75565
186	17365	75498
187	17458	75403
188	17570	75394
189	17683	75385
190	17769	75266
191	17893	75303
192	17998	75259
193	18122	75294
194	18192	75102
195	18290	75029
196	18398	74996
197	18488	74888
198	18591	74833
199	18707	74831
200	18792	74702
201	18862	74516
202	18974	74496
203	19104	74546
204	19209	74495
205	19287	74341
206	19379	74240
207	19479	74173
208	19577	74094
209	19685	74054
210	19791	74008
211	19838	73741
212	19935	73658
213	20052	73649
214	20158	73602
215	20268	73568
216	20377	73529
217	20471	73435
218	20578	73387
219	20670	73284
220	20776	73235
