iter	Logloss_SumError	Logloss_SumWeight
220	3472.72385	32769
221	3473.574057	32769
222	3474.693525	32769
223	3472.037425	32769
224	3471.501577	32769
225	3471.77257	32769
226	3475.564213	32769
227	3471.443364	32769
228	3472.22222	32769
229	3473.842946	32769
230	3471.566662	32769
231	3470.958175	32769
232	3469.164521	32769
233	3473.865434	32769
234	3473.486454	32769
235	3473.754031	32769
236	3472.36511	32769
237	3470.825437	32769
238	3471.730857	32769
239	3469.771182	32769
240	3468.757493	32769
241	3470.687417	32769
242	3469.489943	32769
243	3469.520115	32769
244	3469.618854	32769
245	3469.263709	32769
246	3475.310178	32769
247	3475.787641	32769
248	3475.824603	32769
249	3472.174476	32769
250	3467.935422	32769
251	3466.292733	32769
252	3466.582078	32769
253	3464.255315	32769
254	3465.113157	32769
255	3462.803746	32769
256	3460.523864	32769
257	3464.422895	32769
258	3465.167468	32769
259	3464.826338	32769
260	3463.890418	32769
261	3463.858371	32769
262	3462.440674	32769
263	3458.804722	32769
264	3457.173741	32769
265	3456.241774	32769
266	3456.145153	32769
267	3455.304456	32769
268	3454.274758	32769
269	3456.794686	32769
270	3456.480663	32769
271	3455.270587	32769
272	3453.450419	32769
273	3451.879872	32769
274	3451.670378	32769
275	3449.888059	32769
276	3450.121943	32769
277	3450.820465	32769
278	3450.550184	32769
279	3447.577879	32769
280	3445.772957	32769
281	3446.196673	32769
282	3447.833181	32769
283	3447.388581	32769
284	3447.994154	32769
285	3445.818179	32769
286	3444.613579	32769
287	3444.056895	32769
288	3444.89273	32769
289	3444.998245	32769
290	3445.124544	32769
291	3444.663631	32769
292	3444.781872	32769
293	3445.01182	32769
294	3445.279935	32769
295	3445.024664	32769
296	3444.390941	32769
297	3442.80898	32769
298	3444.186782	32769
299	3443.004344	32769
