iter	Logloss	Accuracy
232	0.1336884114	0.9622735075
233	0.1336806227	0.9622735075
234	0.1336774428	0.9622735075
235	0.1336511359	0.9622353614
236	0.1336342023	0.9622353614
237	0.1335887857	0.9621590692
238	0.1335742517	0.9621972153
239	0.1335727025	0.9622353614
240	0.1335643873	0.9622353614
241	0.1335515311	0.9623497997
242	0.1335094583	0.9623879458
243	0.1334893192	0.9623879458
244	0.1334754812	0.9623879458
245	0.1334554345	0.9623879458
246	0.1332629563	0.9623116536
247	0.1331776986	0.9623497997
248	0.1331723201	0.9623879458
249	0.1331139355	0.962464238
250	0.1330840573	0.9625786763
251	0.1329019692	0.962464238
252	0.1328387323	0.9623497997
253	0.1327498614	0.9623879458
254	0.1327485096	0.9623879458
255	0.1326638772	0.962464238
256	0.1326434032	0.9625023841
257	0.1325813832	0.9625405302
258	0.1325626103	0.9625023841
259	0.1325179884	0.9625023841
260	0.1324454252	0.9625786763
261	0.1323264172	0.9626168224
262	0.1322468684	0.9626931146
263	0.1322432716	0.9626931146
264	0.1322386569	0.9627694068
265	0.1321232048	0.9628838451
266	0.1320739926	0.962845699
267	0.1320706899	0.9628838451
268	0.1320660818	0.9628838451
269	0.1320563338	0.9628838451
270	0.1320464935	0.9629219912
271	0.1316978613	0.962845699
272	0.1316424243	0.9628838451
273	0.1314784622	0.9631127217
274	0.1312491085	0.9630364295
275	0.1312440427	0.9630364295
276	0.1312400947	0.9631127217
277	0.1312370956	0.9631127217
278	0.1311994678	0.9630364295
279	0.1311985584	0.9630364295
280	0.1311765053	0.9630745756
281	0.1311610763	0.9630745756
282	0.1311452342	0.9630745756
283	0.131144478	0.9630745756
284	0.1307527524	0.9630364295
285	0.130742389	0.9630745756
286	0.1307117034	0.9629982834
287	0.1306573193	0.9629982834
288	0.1305969694	0.9630364295
289	0.1305955272	0.9630364295
290	0.1305415303	0.9628838451
291	0.1305175784	0.9627694068
292	0.1305036002	0.962845699
293	0.1304488992	0.9629601373
294	0.1304479749	0.9629601373
295	0.1303270174	0.9631127217
296	0.1303257547	0.9631127217
297	0.1302852875	0.9631508678
298	0.1302449578	0.96322716
299	0.1302377596	0.96322716
300	0.1301450162	0.9631890139
301	0.1301339782	0.9631890139
302	0.1301309572	0.9631890139
303	0.1301178549	0.96322716
304	0.130021307	0.9634560366
305	0.1300012502	0.9633797444
306	0.1299929379	0.9634178905
307	0.1299835843	0.9634178905
308	0.1299664523	0.9633797444
309	0.1299661711	0.9633797444
310	0.1299648139	0.9633797444
311	0.1299534296	0.9633797444
312	0.1299310021	0.9634560366
313	0.1298075617	0.9634560366
314	0.1297453332	0.9634560366
315	0.1297341421	0.9634560366
316	0.1295675316	0.9634941827
317	0.1295661041	0.9634941827
318	0.1295263415	0.9634560366
319	0.1295172744	0.9635704749
320	0.1295050018	0.9635323288
321	0.1295025292	0.9634941827
322	0.1294744161	0.9635704749
323	0.129468739	0.9635704749
324	0.129329323	0.9636849132
325	0.1293167084	0.9636849132
326	0.1292820227	0.9637230593
327	0.1292776223	0.9637230593
328	0.1292749716	0.9637230593
329	0.1292601319	0.9637612054
330	0.1292547512	0.9637993515
331	0.1292502995	0.9637993515
332	0.1290543004	0.9637612054
333	0.1290230153	0.9637612054
334	0.1290170819	0.9637612054
335	0.1290136975	0.9637993515
336	0.1289920836	0.9637993515
337	0.1289856534	0.9637993515
338	0.1289829603	0.9637993515
339	0.1289784569	0.9637993515
340	0.1289610677	0.9637993515
341	0.1288905267	0.963990082
342	0.1288881795	0.963990082
343	0.1288775313	0.9638756437
344	0.1288692641	0.9638756437
345	0.1288688792	0.9638756437
346	0.1288654999	0.9638756437
347	0.1288177052	0.9638374976
348	0.1288156767	0.9638374976
349	0.128800744	0.9639137898
350	0.1287711931	0.9639519359
351	0.1287548125	0.9638756437
352	0.1287522105	0.9638374976
353	0.1287511364	0.9638374976
354	0.1287134419	0.9640282281
355	0.1287115244	0.9640282281
356	0.1287004114	0.963990082
357	0.1286937541	0.963990082
358	0.1286923258	0.9639519359
359	0.1286896212	0.9640282281
360	0.1286820078	0.9640663742
361	0.1286421333	0.9641808125
362	0.1286379157	0.9641808125
363	0.1286373002	0.9641808125
364	0.1286340269	0.9641808125
365	0.128632818	0.9641808125
366	0.1286269977	0.9641808125
367	0.1286242827	0.9641808125
368	0.1286183853	0.9642189586
369	0.1286168223	0.9642189586
370	0.1286147438	0.9642189586
371	0.1286142751	0.9642189586
372	0.1285867194	0.9641808125
373	0.1285859673	0.9641808125
374	0.1285849913	0.9641808125
375	0.1285836563	0.9641808125
376	0.1285753276	0.9641045203
377	0.1285593492	0.9641808125
378	0.128558215	0.9641808125
379	0.1285580852	0.9641808125
380	0.1285547588	0.9641808125
381	0.1285061391	0.9641808125
382	0.1285050967	0.9641426664
383	0.1285048606	0.9641426664
384	0.128501202	0.9641808125
385	0.1284735701	0.9641426664
386	0.1284635558	0.9641045203
387	0.1284631509	0.9641045203
388	0.1284460301	0.9640282281
389	0.1284143724	0.9639519359
390	0.1284120583	0.9639519359
391	0.1284112605	0.9639519359
392	0.1284073509	0.9639519359
393	0.1284051849	0.9639519359
394	0.1283970882	0.9639519359
395	0.1283358664	0.963990082
396	0.1283348137	0.963990082
397	0.128316362	0.9639519359
398	0.128311995	0.9639519359
399	0.1282086988	0.9639519359
400	0.1282009606	0.9639519359
401	0.1281805816	0.9641045203
402	0.1281785683	0.9641045203
403	0.1281709365	0.9640663742
404	0.1281606011	0.9641426664
405	0.1281416189	0.9642189586
406	0.1280857593	0.9642571047
407	0.1280741339	0.9642571047
408	0.1279171798	0.964371543
409	0.1278176421	0.9644096891
410	0.1278083528	0.9644096891
411	0.1277746081	0.964371543
412	0.1276936498	0.9644096891
413	0.1276734335	0.9644478352
414	0.1275817018	0.9646767118
415	0.1275502157	0.9646767118
416	0.1274843095	0.9645241274
417	0.1273681243	0.9646004196
418	0.1273633432	0.9646004196
419	0.1273590661	0.9645622735
420	0.1271917438	0.964753004
421	0.1271355751	0.9648292962
422	0.127104137	0.9648292962
423	0.1269905609	0.9648674423
424	0.1269448977	0.9648674423
425	0.1266043117	0.9649437345
426	0.1265784375	0.9649818806
427	0.1265665593	0.9650581728
428	0.126544694	0.9650963189
429	0.1263721591	0.9650200267
430	0.1262931154	0.9650963189
431	0.1262883798	0.9650963189
432	0.1262353016	0.9650963189
433	0.1261005252	0.9650581728
434	0.1260983598	0.9650581728
435	0.1260868199	0.9650581728
436	0.1260228188	0.9650581728
437	0.1260168821	0.9650581728
438	0.1259830613	0.9650581728
439	0.1259160987	0.965134465
440	0.1259124622	0.965134465
441	0.1259026264	0.965134465
442	0.125698507	0.9650200267
443	0.1256953415	0.9650200267
444	0.1256934414	0.9650200267
445	0.1256741741	0.9650200267
446	0.1256374445	0.9649437345
447	0.1255964173	0.9649437345
448	0.1255427477	0.9648674423
449	0.1255412598	0.9648674423
450	0.1255389903	0.9648674423
451	0.1255366353	0.9648674423
452	0.1255130507	0.9649818806
453	0.1254577557	0.9650581728
454	0.1254095113	0.9649437345
455	0.1252174151	0.9650963189
456	0.1252162551	0.9650963189
457	0.1252026894	0.9650200267
458	0.1251871449	0.9650963189
459	0.1251586556	0.9650200267
460	0.1251357696	0.965134465
461	0.1249652198	0.9653633416
462	0.124964474	0.9653633416
463	0.1249601971	0.9653633416
464	0.124933885	0.9653251955
465	0.1249220946	0.9653633416
466	0.1249156615	0.9654014877
467	0.1247188542	0.9656685104
468	0.1246813489	0.9657448026
469	0.1245947073	0.9657829487
470	0.1244628592	0.9655922182
471	0.1244423635	0.9657066565
472	0.12444044	0.9657066565
473	0.1244369506	0.9656685104
474	0.124393255	0.9656685104
475	0.1243902981	0.9656685104
476	0.1243734366	0.9656685104
477	0.1243541222	0.9656685104
478	0.1242033157	0.9658210948
479	0.1241621762	0.9658592409
480	0.1241255009	0.9659355331
481	0.1240239322	0.9659355331
482	0.1240161257	0.9659736792
483	0.1235180603	0.9662025558
484	0.1234825162	0.9661644097
485	0.1234812598	0.9662025558
486	0.1234550882	0.9662025558
487	0.1234539733	0.9662025558
488	0.1234534791	0.9662025558
489	0.1234524207	0.9662407019
490	0.1234363429	0.9662407019
491	0.1233906307	0.9662025558
492	0.1233808534	0.9662025558
493	0.1233463564	0.9662407019
494	0.1233429438	0.966278848
495	0.1233335612	0.966278848
496	0.123028849	0.966278848
497	0.1229380282	0.9663169941
498	0.1229350654	0.966278848
499	0.1228367916	0.9664314324
500	0.1228190169	0.9664695785
501	0.1227943101	0.9664695785
502	0.1227937407	0.9664695785
503	0.1227696978	0.9665840168
504	0.1227658545	0.9665840168
505	0.1227376721	0.9663551402
506	0.1227371121	0.9663932863
507	0.1227172713	0.9663551402
508	0.1227014251	0.9663932863
509	0.1226897429	0.9663932863
510	0.122683393	0.9663169941
511	0.1226621839	0.9663169941
512	0.1226488168	0.9663551402
513	0.1226268351	0.966278848
514	0.1225952118	0.966278848
515	0.1225933684	0.966278848
516	0.1225775246	0.9663169941
517	0.1225414283	0.9663932863
518	0.1225355639	0.9663551402
519	0.1225031824	0.9663932863
520	0.1224826173	0.9664314324
521	0.1222861149	0.9663932863
522	0.1222379986	0.9664314324
523	0.1221003724	0.9664314324
524	0.1220782942	0.9663932863
525	0.1220174361	0.9664314324
526	0.1219309842	0.9664314324
527	0.1218404654	0.9664314324
528	0.1218394941	0.9664314324
529	0.1217212694	0.9665077246
530	0.1217082403	0.9665077246
531	0.1217054535	0.9665458707
532	0.1216991923	0.9665077246
533	0.1216874862	0.9665077246
534	0.1216120482	0.9666221629
535	0.121236016	0.9665840168
536	0.1212313551	0.9665840168
537	0.1212076398	0.9666221629
538	0.1212024193	0.9666221629
539	0.1211713447	0.9666221629
540	0.1210501857	0.9666221629
541	0.1207930904	0.9665840168
542	0.1207920438	0.9666221629
543	0.1207911366	0.9665840168
544	0.1207903278	0.9665840168
545	0.1207797674	0.9665840168
546	0.1207769351	0.9665840168
547	0.1207528429	0.9666984551
548	0.1207513428	0.9666984551
549	0.1207453248	0.9666984551
550	0.1207320729	0.9666221629
551	0.1206987889	0.966660309
552	0.1206940738	0.966660309
553	0.1205646106	0.9665458707
554	0.1204551971	0.9667366012
555	0.1203957904	0.9667366012
556	0.1203942677	0.9667366012
557	0.1203577587	0.9667747473
558	0.1203399959	0.9667747473
559	0.1203308834	0.9667747473
560	0.1203159804	0.9667747473
561	0.1200110208	0.9668510395
562	0.1199773983	0.9668891856
563	0.1199020417	0.9669273317
564	0.1198063685	0.9668891856
565	0.1197610191	0.9668128934
566	0.1197108627	0.9668128934
567	0.1195537866	0.9670036239
568	0.1195466816	0.9670036239
569	0.1195178748	0.9669273317
570	0.1194881277	0.9669654778
571	0.1194750186	0.9669654778
572	0.1194567653	0.9669654778
573	0.1193814734	0.96704177
574	0.1193754274	0.96704177
575	0.1193716024	0.9671180622
576	0.1193057442	0.9670036239
577	0.1192904743	0.9669654778
578	0.1192174993	0.9669654778
579	0.1192141131	0.9669654778
580	0.119164705	0.96704177
581	0.1191207153	0.9670799161
582	0.1191030108	0.9670036239
583	0.1189850333	0.9671180622
584	0.1189627421	0.96704177
585	0.1188407217	0.9671180622
586	0.1188221273	0.9671180622
587	0.1187422197	0.9670799161
588	0.1187381363	0.9670799161
589	0.11870926	0.9670799161
590	0.1186937125	0.9670799161
591	0.1186863028	0.9671562083
592	0.1186499481	0.9671562083
593	0.1186430785	0.9671180622
594	0.1184969368	0.9672325005
595	0.1184949278	0.9672325005
596	0.1183525583	0.9673087927
597	0.1183371001	0.9673469388
598	0.118289172	0.9673850849
599	0.118270335	0.9673850849
600	0.1181284883	0.967423231
601	0.1181125381	0.9674613771
602	0.11803434	0.9674995232
603	0.117917536	0.9676139615
604	0.1179015232	0.9676521076
605	0.1178651673	0.9674613771
606	0.1178131808	0.9674995232
607	0.1177616386	0.9675376693
608	0.1176902763	0.9674995232
609	0.1176851292	0.9674613771
610	0.1176648758	0.9675376693
611	0.1176197776	0.9674613771
612	0.117614251	0.9675376693
613	0.1174876905	0.9674995232
614	0.1174866272	0.9674995232
615	0.1174203457	0.9675758154
616	0.1174190145	0.9674995232
617	0.1174141918	0.9674995232
618	0.1173827953	0.9675376693
619	0.117363839	0.9675376693
620	0.1173605702	0.9675376693
621	0.1172884786	0.9676902537
622	0.1170352886	0.9676902537
623	0.1169871075	0.9677283998
624	0.116969233	0.9676521076
625	0.1169690771	0.9676521076
626	0.1169672343	0.9676139615
627	0.1169327563	0.9676521076
628	0.1169022058	0.9677665459
629	0.1168266391	0.9676902537
630	0.1168172027	0.9676902537
631	0.1167645809	0.9677665459
