iter	Passed	Remaining
400	39842	59514
401	39942	59417
402	40032	59303
403	40141	59218
404	40243	59123
405	40348	59032
406	40452	58938
407	40540	58824
408	40637	58720
409	40740	58626
410	40845	58535
411	40953	58447
412	41046	58339
413	41148	58244
414	41237	58130
415	41331	58022
416	41436	57931
417	41536	57832
418	41629	57724
419	41726	57622
420	41832	57532
421	41942	57447
422	42051	57360
423	42159	57273
424	42273	57193
425	42378	57101
426	42482	57007
427	42579	56905
428	42675	56801
429	42784	56714
430	42886	56617
431	42983	56515
432	43085	56418
433	43190	56326
434	43284	56219
435	43383	56120
436	43481	56018
437	43585	55924
438	43702	55847
439	43817	55767
440	43917	55669
441	44015	55567
442	44112	55464
443	44201	55351
444	44292	55241
445	44396	55147
446	44498	55051
447	44597	54951
448	44696	54850
449	44793	54747
450	44891	54645
451	44980	54533
452	45074	54427
453	45174	54328
454	45290	54249
455	45397	54158
456	45498	54060
457	45603	53967
458	45702	53866
459	45799	53765
460	45917	53686
461	46039	53613
462	46144	53519
463	46245	53421
464	46344	53321
465	46447	53225
466	46551	53130
467	46657	53038
468	46763	52945
469	46856	52837
470	46961	52744
471	47061	52645
472	47153	52536
473	47252	52436
474	47356	52341
475	47452	52237
476	47552	52138
477	47650	52037
478	47746	51933
479	47849	51837
480	47953	51741
481	48048	51636
482	48144	51533
483	48246	51436
484	48351	51342
485	48439	51230
486	48527	51118
487	48625	51017
488	48717	50909
489	48806	50798
490	48915	50708
491	49022	50616
492	49115	50509
493	49220	50415
494	49311	50308
495	49415	50212
496	49527	50125
497	49626	50025
498	49717	49917
499	49812	49812
500	49913	49714
501	50013	49614
502	50108	49511
503	50205	49408
504	50296	49301
505	50402	49207
506	50501	49106
507	50603	49010
508	50697	48904
509	50791	48799
510	50896	48704
511	50992	48602
512	51094	48504
513	51190	48401
514	51287	48299
515	51383	48197
516	51492	48106
517	51590	48005
518	51685	47900
519	51781	47798
520	51885	47703
521	51996	47613
522	52103	47520
523	52208	47426
524	52306	47324
525	52402	47221
526	52508	47127
527	52632	47050
528	52740	46958
529	52854	46870
530	52942	46761
531	53035	46655
532	53129	46550
533	53259	46477
534	53355	46374
535	53458	46277
536	53553	46173
537	53655	46075
538	53763	45983
539	53857	45878
540	53963	45784
541	54086	45704
542	54196	45613
543	54289	45507
544	54382	45402
545	54481	45301
546	54571	45193
547	54672	45094
548	54765	44989
549	54856	44882
550	54960	44786
551	55050	44678
552	55141	44571
553	55234	44466
554	55337	44369
555	55447	44277
556	55543	44175
557	55644	44077
558	55744	43977
559	55848	43881
560	55966	43795
561	56088	43712
562	56183	43609
563	56279	43506
564	56386	43412
565	56494	43319
566	56617	43237
567	56729	43146
568	56833	43049
569	56956	42967
570	57077	42883
571	57187	42790
572	57294	42695
573	57400	42600
574	57501	42500
575	57593	42395
576	57700	42300
577	57801	42201
578	57912	42109
579	58019	42014
580	58125	41918
581	58235	41825
582	58334	41724
583	58425	41618
584	58516	41511
585	58614	41409
586	58714	41310
587	58825	41217
588	58914	41110
589	59008	41006
590	59101	40901
591	59210	40807
592	59333	40723
593	59435	40624
594	59539	40527
595	59636	40424
596	59739	40326
597	59834	40223
598	59944	40129
599	60046	40030
600	60150	39933
601	60247	39831
602	60397	39763
603	60508	39670
604	60621	39579
605	60724	39481
606	60826	39382
607	60930	39283
608	61032	39185
609	61126	39081
610	61236	38987
611	61366	38905
612	61470	38807
613	61617	38736
614	61723	38640
615	61830	38543
616	61923	38438
617	62021	38336
618	62116	38233
619	62211	38129
620	62296	38019
621	62396	37919
622	62499	37820
623	62599	37720
624	62695	37617
625	62793	37515
626	62890	37413
627	62979	37306
628	63081	37207
